ticker,quarter,m01p01,0p1,0p2
AFL,2024Q3,0.07972185595738523,0.0742818524804029,0.05991459318085816
AFL,2024Q4,-0.046527891832097185,-0.05254245843606053,-0.0500143904212556
AFL,2025Q1,,,
AFL,2025Q2,,,
AFL,2025Q3,,,
AIG,2023Q4,-0.01208149514283426,-0.007921701005678706,-0.041688532494248184
AIG,2024Q1,0.001977907726058303,-0.002345572984241401,0.004215223054313587
AIG,2024Q2,0.049311679717829675,0.04226050151142532,0.0384637225767571
AIG,2024Q3,-0.034142611735133124,-0.046500292557652236,-0.0721397823386425
AIG,2024Q4,-0.007051182899216902,-0.007051182899216902,-0.038671236452017935
AIG,2025Q1,,,
AIG,2025Q2,,,
AIG,2025Q3,,,
AIZ,2023Q4,0.1172508934547605,0.1241293063379225,0.08033190972997112
AIZ,2024Q1,0.049910245019373425,0.03926701012442994,0.0371361669747822
AIZ,2024Q2,-0.009024918845897973,-0.02843140120399539,-0.016786549085071115
AIZ,2024Q3,0.005365731573739146,0.008760215874577922,-0.0044325042872484215
AIZ,2024Q4,0.03744676109269139,0.03618118927860123,0.04699019001233152
AIZ,2025Q1,,,
AIZ,2025Q2,,,
AIZ,2025Q3,,,
AJG,2023Q4,0.007149411986518658,,
AJG,2024Q1,-0.032451962973732054,,
AJG,2024Q2,-0.01427629767887691,,
AJG,2024Q3,0.03970684625285933,,
AJG,2024Q4,-0.016348424590976438,,
AJG,2025Q1,,,
AJG,2025Q2,,,
AJG,2025Q3,,,
AKAM,2023Q4,0.014830875032506869,0.020145962739075426,0.01712012623965124
